symbol,exchange,currency,example_local_symbol,example_conid,description
M1MSA,NYSELIFFE,USD,ASNH6,621439305,MSCI EMERGING MARKETS ASIA NET TOTAL RETURN (NTR)
M2K,CME,USD,M2KH6,750150181,MICRO E-MINI RUSSELL 2000 INDEX
M6A,CME,USD,M6AH6,814035912,AUSTRALIAN DOLLAR
M6B,CME,USD,M6BH6,814035917,BRITISH POUND
M6E,CME,USD,M6EH6,814035923,EUROPEAN MONETARY UNION EURO
MBT,CME,USD,MBTH6,732156863,MICRO BITCOIN
MCD,CME,USD,MCDH6,814542406,CANADIAN DOLLAR
MCL,NYMEX,USD,MCLK6,661016514,MICRO WTI CRUDE OIL
MES,CME,USD,MESH6,750150186,MICRO E-MINI S&P 500 STOCK PRICE INDEX
MET,CME,USD,METH6,732156866,MICRO ETHER
MGC,COMEX,USD,MGCG6,693609542,E-MICRO GOLD 
MGE,CBOT,USD,MGEF6,799012469,OPTIMAL BLUE MORTGAGE MARKET INDICES (OBMMI) 30-YEAR CONFORMING FIXED RATE 
MGTN,CFE,USD,MGTNF6,837212320,CBOE MAGNIFICENT 10 INDEX
MHG,COMEX,USD,MHGK6,559306154,MICRO COPPER
MHNG,NYMEX,USD,MNGG6,680623607,MICRO HENRY HUB NATURAL GAS
MHO,NYMEX,USD,MHOG6,758419048,MICRO NY HARBOR ULSD
MIA,CME,USD,MIAG6,404872145,MIAMI HOUSING INDEX
MIR,CME,USD,MIRF6,758044960,INDIAN RUPEE
MJY,CME,USD,MJYH6,814035926,JAPANESE YEN
MMC,CME,USD,MMCH6,750150191,MICRO E-MINI S&P MIDCAP 400 FUTURES
MNH,CME,CNH,MNHF6,753716573,UNITED STATES DOLLAR
MNI,CME,JPY,MNIH6,813337106,MICRO YEN DENOMINATED NIKKEI 225
MNK,CME,USD,MNKH6,813337111,MICRO DOLLAR DENOMINATED NIKKEI 225
MNQ,CME,USD,MNQH6,750150193,MICRO E-MINI NASDAQ-100 INDEX
MP,ICEUS,USD,MPH6,769319830,BRITISH POUND
MRB,NYMEX,USD,MRBG6,758419053,MICRO RBOB GASOLINE
MSF,CME,USD,MSFH6,814035929,SWISS FRANC
MSL,CME,USD,MSLM6,768784647,MICRO SOLANA
MSPE,NYSELIFFE,EUR,MPPH6,750739782,MSCI PAN-EURO INDEX
MTN,CBOT,USD,MTNH6,810619246,MICRO ULTRA 10-YEAR U.S TREASURY NOTE
MWN,CBOT,USD,MWNH6,810619248,MICRO ULTRA US TREASURY BOND
MXEA,NYSELIFFE,USD,MFSH6,621439302,MSCI EAFE INDEX
MXEF,NYSELIFFE,USD,MMEZ9,531140396,MSCI EMERGING MARKETS INDEX
MXLA,NYSELIFFE,USD,MLEH6,750739771,MSCI EMERGING LATIN AMERICA INDEX
